id,phase,block,seq_id,weight1,weight2,weight3,weight4,sorted1,sorted2,sorted3,sorted4,evidence,p_left,n_different,response,rt,rank_cue1,rank_cue2,rank_cue3,rank_cue4,c1_left,c2_left,c3_left,c4_left,c1_right,c2_right,c3_right,c4_right
310,1,2,99,0,0.6,0.9,0,0.9,0.6,0,0,1.5,0.96934657,2,1,1.609421443,3,2,1,4,1,1,2,1,2,2,2,2
310,1,2,33,0,0.6,0,0,0,0.6,0,0,0.6,0.799239991,1,1,1.444468013,3,2,1,4,2,1,1,1,2,2,1,1
310,1,2,238,0,0,-0.9,0,-0.9,0,0,0,-0.9,0.11181577,1,1,1.830707086,3,2,1,4,2,2,2,1,1,2,2,2
310,1,2,182,-0.3,0,0,0,0,0,-0.3,0,-0.3,0.333860575,1,-1,1.122315363,3,2,1,4,1,2,2,1,1,2,1,1
310,1,2,144,-0.3,0,-0.9,0,-0.9,0,-0.3,0,-1.2,0.059350943,2,1,1.929355769,3,2,1,4,2,1,2,1,1,1,1,2
310,1,2,71,0.3,-0.6,0.9,0,0.9,-0.6,0.3,0,0.6,0.799239991,3,1,1.136579826,3,2,1,4,1,2,1,2,2,1,2,2
310,1,2,5,0,0.6,0,0,0,0.6,0,0,0.6,0.799239991,1,-1,1.706508337,3,2,1,4,1,1,1,1,1,2,1,2
310,1,2,45,0,0.6,0,0,0,0.6,0,0,0.6,0.799239991,1,-1,0.712431165,3,2,1,4,2,1,1,2,2,2,1,1
310,1,2,214,0,0,-0.9,0,-0.9,0,0,0,-0.9,0.11181577,1,1,1.150697862,3,2,1,4,2,1,2,1,1,1,2,1
310,1,2,51,0.3,0.6,-0.9,0,-0.9,0.6,0.3,0,2.22E-16,0.5,3,1,1.921684352,3,2,1,4,2,1,1,2,1,2,2,1
310,1,2,172,-0.3,-0.6,0.9,0,0.9,-0.6,-0.3,0,-2.22E-16,0.5,3,1,1.251146795,3,2,1,4,1,2,2,2,2,1,1,2
310,1,2,93,0,0,0,0,0,0,0,0,0,0.5,0,-1,0.996565773,3,2,1,4,1,1,2,1,1,1,2,2
